FKZ;Referat;Behörde/PT;Arbeits-einheit;Förderart;Thema;Laufzeit von;Laufzeit bis; Bundesmittel 2012 ; IST-Ausgaben 2012 ;Zielland;
2512AHR015;MII6;BVA;IIA5;Direkte Projektförderung;" Hilfen für die deutsche Minderheit in Rumänien im Jahr 2012; Gemeinschaftsfördernde Maßnahmen -Kindersprachferienlager-";10.07.2012;31.12.2012;5411 ;5411 ;Rumänien;
2512AHR016;MII6;BVA;IIA5;Direkte Projektförderung;" Hilfen für die deutsche Minderheit in Rumänien im Jahr 2012; Sprachbindungsmaßnahmen -Workshop für Jugendliche (Leben im Mittelalter)-";27.11.2012;31.12.2012;2287 ;2287 ;Rumänien;
2512AHR020;MII6;BVA;IIA5;Direkte Projektförderung;Hinzuziehung eines Sachverständigen für Spracherwerb und Sprachförderung;01.01.2012;31.12.2012;3380 ;3380 ;Rumänien;
2512AHU500;MII7;BVA;IIA5;Direkte Projektförderung;Maßnahmen zur Konzeption des Internetauftritts (ifa-workshop);01.04.2012;31.12.2012;14082 ;14082 ;Ukraine;
2512AHU501;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in der Ukraine in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.07.2012;31.12.2014;188707 ;188707 ;Ukraine;
2512AHU512;MII7;BVA;IIA5;Direkte Projektförderung;Fördermaßnahmen in der Republik Moldau im HHJ 2012: Begegnungszentren und Jugendarbeit;01.01.2012;31.12.2012;32223 ;32223 ;Moldau;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungsgespräch ;01.01.2012;31.12.2012;269 ;269 ;Slowakei;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungsgespräch;01.01.2012;31.12.2012;1126 ;1126 ;Tschechien;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungsgespräch;01.01.2012;31.12.2012;680 ;680 ;Ungarn;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungsgespräch;01.01.2012;31.12.2012;2521 ;2521 ;Polen;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Informationsbesuch des Beauftragten in Serbien und Ungarn;01.01.2012;31.12.2012;418 ;418 ;Serbien/Ungarn;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Informationsbesuch des Beauftragten;01.01.2012;31.12.2012;75 ;75 ;Rumänien;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Informationsbesuch des Beauftragten;01.01.2012;31.12.2012;564 ;564 ;Slowakei;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: Deutsch-Russische Arbeitsgruppe";01.01.2012;31.12.2012;245 ;245 ;Russland;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: Reise BA Bergner nach Usbekistan";01.01.2012;31.12.2012;2650 ;2650 ;Usbekistan;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: 18. Deutsch-Russische Regierungskommission";01.01.2012;31.12.2012;10949 ;10949 ;Russland;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: 19. Deutsch-Russische Regierungskommission";01.01.2012;31.12.2012;8178 ;8178 ;Russland;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: Notarkosten Silute";01.01.2012;31.12.2012;304 ;304 ;Litauen;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: 8. Deutsch-Kirgisische Regierungskommission";01.01.2012;31.12.2012;7517 ;7517 ;Kirgisistan;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: 10. Deutsch-Kasachische Regierungskommission";01.01.2012;31.12.2012;5206 ;5206 ;Kasachstan;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: Vorbereitung 20. Deutsch-Russische Regierungskommission";01.01.2012;31.12.2012;542 ;542 ;Russland;
2512BDV01;MII6;BVA;IIA5;Direkte Projektförderung;Institutionelle Förderung des BdV im Haushaltsjahr 2012;01.01.2012;31.12.2012;889975 ;859537 ;Deutschland;
2512FM01;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Offene Türen - Polen; Tschechen und Deutsche"" vom 15. - 20.01.2012";;;14112 ;14112 ;Deutschland;
2512FM010;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Schlesische Begegnungen"" vom 04.03. - 11.03.2012";;;19753 ;17207 ;Deutschland;
2512FM011;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Kommunalpolitische Themen der Vertriebenen"" vom 24.02. - 26.02.2012";;;5013 ;4675 ;Polen;
2512FM012;MII6;BVA;IIA5;Direkte Projektförderung;XXI. Brünner Symposium;;;15500 ;12726 ;Tschechien;
2512FM013;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Deutsche und Polen - Wege der gemeinsamen Nachbarschaft in Europa"" vom 11. - 16.03.2012";;;18037 ;17990 ;Deutschland;
2512FM014;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Verständigung durch Verbindungen"" vom 1.03. - 16.03.2012";;;10220 ;10220 ;Deutschland;
2512FM015;MII6;BVA;IIA5;Direkte Projektförderung;Verständigungsfahrt nach Bielit/Biala vom 11. - 17.04.2012;;;19907 ;16913 ;Polen;
2512FM016;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Grenze und Grenzüberschreitung"" vom 11.03. - 15.03.2012";;;7509 ;6163 ;Deutschland;
2512FM017;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Sudetendeutsche Identitäten. Erinnerungskultur oder Konfliktquelle"" vom 18.03. - 23.03.2012";;;9960 ;8780 ;Deutschland;
2512FM018;MII6;BVA;IIA5;Direkte Projektförderung;Politische Weiterbildungswoche vom 04.04. - 09.04.2012 im Deutsch-Tschechischen Begegnungs- und Kulturzentrum Sankt Adalbert im Kloster Rohr;;;16900 ;13020 ;Deutschland;
2512FM019;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Begegnung und Verständigung"" vom 17.04. - 20.04.2012";;;3330 ;3330 ;Deutschland;
2512FM02;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Schlesische Begegnungen"" vom 15. - 22.01.2012";;;16154 ;12554 ;Deutschland;
2512FM020;MII6;BVA;IIA5;Direkte Projektförderung;Deutsch-polnische kommunale Partnerschaften in der Praxis (Mehrzweckhallen statt Präsidialpalais) vom 20. - 22.04.2012;;;19123 ;14272 ;Deutschland;
2512FM021;MII6;BVA;IIA5;Direkte Projektförderung;"Deutsch-tschechisches Seminar: ""Nachbar Tschechien - Zukunft mit Tschechien"" vom 13. - 15.04.2012";;;4863 ;4086 ;Deutschland;
2512FM022;MII6;BVA;IIA5;Direkte Projektförderung;"Zentrale Informations- und Begegnungstagung ""Macht und Religion: Christliches Leben in der Geschichte der böhmischen Länder"" vom 20.04. - 22.04.2012";;;5700 ;5655 ;Deutschland;
2512FM023;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Kriegskinder - Kriegsenkel und kein Ende Folgen von Krieg; Vertreibung; Flucht; Wirkung und Aktualität"" vom 02. - 04.03.2012";;;15958 ;11861 ;Deutschland;
2512FM024;MII6;BVA;IIA5;Direkte Projektförderung;Organisations- und Vorbereitungsreise vom 06. - 13.05.2012;;;2237 ;1924 ;Polen;
2512FM025;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Erinnerungen bleiben"" vom 20. - 22.04.12";;;15098 ;10918 ;Deutschland;
2512FM026;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Das Baltikum und die Deutschen - gemeinsam in Europa"" am 02.05.2012";;;970 ;568 ;Deutschland;
2512FM027;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Deutsch-polnisches Miteinander in Form von Patenschaften und Partnerschaften als Zeichen beispielhafter Solidarität innerhalb einer europäischen Kulturlandschaft"" vom 15.05 - 19.05.2012";;;13345 ;12637 ;Deutschland;
2512FM028;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Deutsche und Polen - Im Europa der Bürger"" vom 15. - 20.04.2012";;;18257 ;17587 ;Deutschland;
2512FM029;MII6;BVA;IIA5;Direkte Projektförderung;"Deutsch-Tschechisches Bundestreffen der Ackermann-Gemeinde ""Europa - unsere Verantwortung"" vom 02. 05.08.2012";;;16657 ;16657 ;Deutschland;
2512FM03;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Schlesische Begegnungen"" vom 22. - 27.01.2012";;;20538 ;20538 ;Deutschland;
2512FM030;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Deutsche Heimatvertriebene in Polen"" vom 11.05. - 13.05.2012";;;5916 ;5916 ;Polen;
2512FM031;MII6;BVA;IIA5;Direkte Projektförderung;Marienbader Gespräche;;;32780 ;16090 ;Tschechien;
2512FM04;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Mitteleuropäische Begegnungen"" vom 05.02. - 12.02.2012";;;10986 ;5793 ;Deutschland;
2512FM05;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Mitteleuropäische Begegnungen"" vom 10.02. - 20.02.2012";;;8905 ;8176 ;Deutschland;
2512FM06;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Schlesische Begegnungen"" vom 19. - 26.02.2012";;;19753 ;16931 ;Deutschland;
2512FM07;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Schlesische Begegnungen"" vom 26.02. - 04.03.2012";;;19753 ;14685 ;Deutschland;
2512FM08;MII6;BVA;IIA5;Direkte Projektförderung;"Diskussionsrunde ""Hindenburg/Oberschlesien"" am 05.03.2012";;;954 ;861 ;Polen;
2512FM09;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Europa gestalten"" vom 10. - 12.02.2012";;;15958 ;13157 ;Deutschland;
2512FM32;MII6;BVA;IIA5;Direkte Projektförderung;Das gibt es doch gar nicht - Auf der Suche nach der westpreußischen Identität;;;13897 ;10191 ;Deutschland;
2512FM33;MII6;BVA;IIA5;Direkte Projektförderung;Vorbereitungsfahrt nach Nieder- und Oberschlesien vom 15. - 19.07.2012;;;969 ;969 ;Polen;
2512FM34;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Deutsche und Polen - Nachbarn in Europa"" vom 25. - 28.05.2012";;;8656 ;8656 ;Deutschland;
2512FM35;MII6;BVA;IIA5;Direkte Projektförderung;Studienreise des BdV Kreisverbandes Altkreis Kyritz vom 05. - 07.07.2012 nach Schwerin;;;6609 ;6609 ;Polen;
2512FM36;MII6;BVA;IIA5;Direkte Projektförderung;Seminar: Vilnius - Riga - Tallin. Drei Metropolen in Geschichte und Gegenwart vom 08. - 10.06.2012;;;16039 ;16039 ;Deutschland;
2512FM37;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Getrennte Erinnerungen - gemeinsame Gegenwart 10. - 15.06.2012";;;14328 ;12134 ;Deutschland;
2512FM38;MII6;BVA;IIA5;Direkte Projektförderung;21. Sommerkurs vom 01. - 14.07.2012;;;50659 ;49372 ;Deutschland;
2512FM39;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Mitteleuropäische Begegnungen"" vom 28.05. - 03.06.2012";;;12062 ;12062 ;Deutschland;
2512FM40;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Belastete Gegenwart? - Das Miteinander von Deutschen und Polen im 20. und 21 Jahrhundert";;;4421 ;2589 ;Deutschland;
2512FM41;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Kraft aus den Wurzeln - Getrennte Wege führen zueinander"" vom 26. - 29.07.2012";;;2000 ;2000 ;Tschechien;
2512FM42;MII6;BVA;IIA5;Direkte Projektförderung;"Tagesfahrt in die polnische Region nach Meseritz; Drossen und Kunersdorf ";;;723 ;723 ;Polen;
2512FM43;MII6;BVA;IIA5;Direkte Projektförderung;Projektbegleitungskosten im Zusammenhang mit der Unterstützung des Direktoriums Romas - Patras Saulys;;;4315 ;4315 ;Litauen;
2512FM44;MII6;BVA;IIA5;Direkte Projektförderung;"Ausstellung ""Heimat in der Fremde. Vertriebene im Südwesten - kirchliche Integration - gesellschaftliche Auswirkungen"" ";11.05.2012;31.07.2012;4999 ;4999 ;Deutschland;
2512FM45;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Kommunalpolitische Themen der Vertriebenen"" vom 31.08. - 02.09.2012";;;ausgefallen;ausgefallen;Deutschland;
2512FM46;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Begegnung und Verständigung"" vom 18. - 21.09.2012";;;3275 ;3275 ;Deutschland;
2512FM47;MII6;BVA;IIA5;Direkte Projektförderung;Seminar: Deutsch-polnische Geschichte am Unterlauf der Weichsel vom 19.- 21.10.2012;;;10078 ;9597 ;Deutschland;
2512FM48;MII6;BVA;IIA5;Direkte Projektförderung;Seminar: Deutsche Heimatvertriebene in Polen vom 07. - 09.09 2012 ;;;4940 ;4749 ;Polen;
2512FM49;MII6;BVA;IIA5;Direkte Projektförderung;"Teilnahme am ""Kulturfestival der deutschen Minderheit"" in Polen am 29.09.2012 in Breslau";;;ausgefallen;ausgefallen;Polen;
2512FM50;MII6;BVA;IIA5;Direkte Projektförderung;Bundesversammlung der Seliger-Gemeinde;;;18000 ;17709 ;Deutschland;
2512FM51;MII6;BVA;IIA5;Direkte Projektförderung;"Verständigungspolitische Tagung ""Vergangenheit und Gegenwart in Pommern""";;;9481 ;4972 ;Polen;
2512FM52;MII6;BVA;IIA5;Direkte Projektförderung;Deutsch-Polnischer Kommunalpolitischer Kongress vom 12. - 14.10.2012;;;18550 ;5993 ;Deutschland;
2512FM53;MII6;BVA;IIA5;Direkte Projektförderung;"Fachtagung ""Nationales Wahlrecht und internationale Freizügigkeit"" vom 12. - 13.10.2012";;;11103 ;6894 ;Deutschland;
2512FM54;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Zusammenleben in Europa"" vom 19. - 24.08.2012";;;28840 ;28840 ;Deutschland;
2512FM55;MII6;BVA;IIA5;Direkte Projektförderung;66. Jahrestagung (Gementreffen);;;20167 ;19411 ;Deutschland;
2512FM56;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Westpreußen - Land der Begegnung"" vom 28. - 30.09.2012";;;15256 ;15256 ;Deutschland;
2512FM57;MII6;BVA;IIA5;Direkte Projektförderung;Baltischer Jugend - und Studentenkongress 2012 vom 27. - 30.09.2012;;;14115 ;9936 ;Deutschland;
2512FM58;MII6;BVA;IIA5;Direkte Projektförderung;Integration nach 1945 der Deutschen im an Polen gefallenen Danzig;;;7510 ;5672 ;Deutschland;
2512FM59;MII6;BVA;IIA5;Direkte Projektförderung;"Begegnungstagung: ""Das Erlebte vermitteln - Zeitzeugen sind gefragter denn je"" vom 07. - 09.09.2012";;;7426 ;6650 ;Deutschland;
2512FM60;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Deutsch-polnische Erinnerungsorte"" vom 12. - 14.10.2012";;;17761 ;15814 ;Deutschland;
2512FM61;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Erinnerungs- und Begegnungsbrücken""";;;8640 ;8101 ;Deutschland;
2512FM62;MII6;BVA;IIA5;Direkte Projektförderung;Verständigungsfahrt des Hilfswerks Waldenburger Bergland e.V. nach Schlesien vom 06. - 11.09.2012;;;14006 ;13983 ;Polen;
2512FM63;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Zwischen Nimmersatt und Narva. Landschaften und Menschen an der Ostsee"" vom 26.11. - 28.11.2012 in Sankelmark";;;15993 ;14974 ;Deutschland;
2512FM64;MII6;BVA;IIA5;Direkte Projektförderung;Verständigungspolitische Maßnahme;;;14700 ;13235 ;Deutschland;
2512FM65;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Deutsch-Ungarische-kroatische Begegnungen als Grundlage für die Stärkung der europäischen Verständigungskultur"" aus der Reihe ""Begegnung und Verständigung"" in Ungarn und Kroatien in der Zeit vom 22.10 bis 28.10.2012";;;20385 ;16974 ;Ungarn Kroatien;
2512FM66;MII6;BVA;IIA5;Direkte Projektförderung;Verständigung auf guten Wegen - Zusammenarbeit von Deutschen und Tschechen im wachsenden Europa;;;0 ;abgesagt;Deutschland;
2512FM67;MII6;BVA;IIA5;Direkte Projektförderung;Druckkostenzuschuss für eine Veröffentlichung über das erste Präsidium des BdV;;;13360 ;13360 ;Deutschland;
2512FM71;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Deutsche und Polen - Angekommen in Europa"" vom 14.10. - 19.10.2012 in Königswinter";;;17800 ;13817 ;Deutschland;
2512FM74;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Schlesische Begegnungen"" i. Z. m. der Universität Tschenstochau vom 11.11. - 18.11.2012  in Königswinter";;;0 ;abgesagt;Deutschland;
2512FM75;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Schlesische Begegnungen"" i. Z. m. der Universität Breslau  vom 18.11. - 25.11.2012  in Königswinter";;;12894 ;12894 ;Deutschland;
2512FM76;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Schlesische Begegnungen"" i. Z. m. der Universität Kattowitz vom 09.12.. - 16.12..2012  in Königswinter";;;16008 ;16008 ;Deutschland;
2512FM78;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Schlesische Begegnungen"" i. Z. m. der Philologischen Hochschule Breslau  vom 25.11. - 02.12.2012";;;20538 ;20538 ;Deutschland;
2512FM80;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Schlesische Begegnungen"" i. Z. m. der Philologischen Hochschule  Breslau  vom 25.11. - 02.12.2012  in Königswinter";;;14713 ;14713 ;Deutschland;
2512FM81;MII6;BVA;IIA5;Direkte Projektförderung;"Tagung: ""Wege in die Zukunft"" Teil 3 vom 12.11.2012-13.11.2012 in Wesseling";;;4010 ;2813 ;Deutschland;
2512FM82;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Deutsche Heimatvertriebene in Schlesien"" vom 14.12.2012 - 17.12.2012 in Sankt Annaberg/Oberschlesien";;;6546 ;6518 ;Polen;
2512FM83;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar ""Mitteleuropäische Begegnungen"" vom 18.11.2012 - 23.11.2012";;;16462 ;16435 ;Deutschland;
2512VOD001;MII7;BVA;IIA5;Direkte Projektförderung;Herstellung eines Buches über die Trudarmee;;;36000 ;36000 ;Russland;
2512VOD002;MII7;BVA;IIA5;Vertrag;"Online-Streaming einer DVD-Trilogie ""Versöhnung über Grenzen""";;;4800 ;4800 ;Deutschland;
2512VOD005;MII7;BVA;IIA5;Direkte Projektförderung;Abonnierung der Moskauer Deutschen Zeitung;;;134170 ;134170 ;Russland;
2512VOD006;MII7;BVA;IIA5;Direkte Projektförderung;Abonnierung der Kinderzeitschrift Schrumdirum;;;244423 ;244423 ;Russland;
2512VOD008;MII7;BVA;IIA5;Auftrag;Abonnierung der Zeitschrift und Globus;;;4556 ;4556 ;MOE-Staaten;
2512VOD009;MII7;BVA;IIA5;Direkte Projektförderung;BiZ-Bote;01.01.2012;31.12.2012;64101 ;64101 ;Russland;
2512VOD010;MII7;BVA;IIA5;Direkte Projektförderung;Kalender für Russlanddeutsche 2013;01.04.2012;31.12.2012;49982 ;49982 ;Russland;
2512VOD011;MII7;BVA;IIA5;Direkte Projektförderung;"Sammelband ""Das kulturelle Erbe der Deutschen Zentralasiens""";01.07.2012;31.12.2012;10767 ;10767 ;Kasachstan;
2512VOD012;MII7;BVA;IIA5;Direkte Projektförderung;Rusdeutsch.ru und .eu;01.01.2012;31.12.2012;87284 ;87284 ;Russland;
2512VOD013;MII7;BVA;IIA5;Direkte Projektförderung;Zeitschriftenbeschaffung und -versand;01.01.2012;31.12.2012;23722 ;23722 ;Russland;
2512VOD015;MII7;BVA;IIA5;Direkte Projektförderung;"Publikation der LmDR ""Jahre des Terrors""";01.11.2012;31.12.2012;23983 ;23983 ;Deutschland;
2512VOD017;MII7;BVA;IIA5;Direkte Projektförderung;"""Deutsche Minderheit in Usbekistan""";15.11.2012;31.01.2013;4000 ;4000 ;Usbekistan;
2512VOD080;MII6;BVA;IIA5;Direkte Projektförderung;"Hilfen für die deutsche Minderheit in Polen 2012: Sprachbindungsmaßnahmen;  Herausgabe einer mehrheitlich zweisprachigen Beilage ""HEIMAT""  zur  Regionalzeitung ""NTO""";03.01.2012;31.12.2012;30000 ;30000 ;Polen;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
